video_id,video_title,author,comment_text
LD_Kjh7ZhMU,Are you ready?👀👁️,Mishal Patwary,Nicely
LD_Kjh7ZhMU,Are you ready?👀👁️,ZERO PUBG,Ready for what??
LD_Kjh7ZhMU,Are you ready?👀👁️,Almighty Slasher,Fuck. What the fuck is happening to this world. Sad af 😢
LD_Kjh7ZhMU,Are you ready?👀👁️,Tiger,Car
LD_Kjh7ZhMU,Are you ready?👀👁️,Imagy Stupid,Where meme?
LD_Kjh7ZhMU,Are you ready?👀👁️,Rich h,I came here for the comments 😆
LD_Kjh7ZhMU,Are you ready?👀👁️,Charlie Maron,“wOmEN aRe NOt oBjeCts”
LD_Kjh7ZhMU,Are you ready?👀👁️,Kunal Gurung,Always ready!
LD_Kjh7ZhMU,Are you ready?👀👁️,Неапольский Стронцо,Took me 300 bucks to fk her. Not worth that money. Disappointed. Emotional damage.
LD_Kjh7ZhMU,Are you ready?👀👁️,Nyan Htet,Who&#39;s she?
LD_Kjh7ZhMU,Are you ready?👀👁️,rodrigo mena,Cada vez peor. 🤦‍♂️🤦‍♂️
LD_Kjh7ZhMU,Are you ready?👀👁️,MisterTrollege,No
LD_Kjh7ZhMU,Are you ready?👀👁️,ƛƇӇЄԼƠɄS 07,I want more content like this.. c&#39;mon women show what u got to the internet 👁️👄👁️
LD_Kjh7ZhMU,Are you ready?👀👁️,Vampire zx,Wait i coming
LD_Kjh7ZhMU,Are you ready?👀👁️,Mubashir Mubashir,OMG 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱
LD_Kjh7ZhMU,Are you ready?👀👁️,Melvin Raj,And bitches ask for freedom 💀
LD_Kjh7ZhMU,Are you ready?👀👁️,Lochin Jurayev,Zòrsan jonim
LD_Kjh7ZhMU,Are you ready?👀👁️,Ashish Kumar,Girls like these are shame
LD_Kjh7ZhMU,Are you ready?👀👁️,Kin,Nice jiggle.<br><br>What? You expect me to acknowledge anything else?
LD_Kjh7ZhMU,Are you ready?👀👁️,sika ria,Edit name plsss
LD_Kjh7ZhMU,Are you ready?👀👁️,Azerbaycan,😜😜😜😜😜😜😜
LD_Kjh7ZhMU,Are you ready?👀👁️,Derek Estrada,Jiggle
LD_Kjh7ZhMU,Are you ready?👀👁️,Raleigh Barnard,Smells fishy.
LD_Kjh7ZhMU,Are you ready?👀👁️,Synix.,"cool, now get a talent. Then go tell ur dad about it. Oh shit.. you don’t have one. My bad"
LD_Kjh7ZhMU,Are you ready?👀👁️,ItadoriDomain2351,Master Oogway Help us
LD_Kjh7ZhMU,Are you ready?👀👁️,Gherson S. Altamirano,😍🔥♥️😄🌹...🙌🙌🙌👌
